0
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Period, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Permeability, Gross, Depth, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Gross', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Porosity, Permeability, Depth, Lithology, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Porosity, Permeability, Depth, Lithology, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Depth, Permeability, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Depth, Netpay, Porosity, Permeability, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Depth, Lithology, Permeability]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Lithology, Structural setting, Gross, Netpay, Porosity, Depth, Tectonic regime, Permeability, Period]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Permeability, Depth, Period, Porosity]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Depth, Netpay, Permeability, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Period, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime, Lithology, Structural setting]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Permeability, Depth, Tectonic regime, Porosity]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period, Tectonic regime]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Period, Structural setting, Netpay, Porosity, Permeability, Depth, Gross, Lithology, Tectonic regime]', ""[('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Permeability, Depth, Lithology, Porosity]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period, Tectonic regime]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Permeability, Depth, Period, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Period, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Porosity, Permeability, Depth, Lithology, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Netpay, Porosity, Depth, Permeability, Gross, Tectonic regime]', ""[('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Permeability, Depth, Period, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Period, Lithology, Netpay, Porosity, Permeability, Depth, Gross, Tectonic regime, Structural setting]', ""[('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Permeability, Netpay, Period, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Tectonic regime, Gross]', ""[('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Permeability, Tectonic regime, Depth, Porosity]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Period, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Period, Tectonic regime, Depth]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Netpay, Porosity, Permeability, Depth, Lithology, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime, Lithology]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Permeability, Depth, Tectonic regime, Porosity]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Permeability, Depth, Lithology, Porosity]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Period, Lithology, Gross, Netpay, Permeability, Depth, Tectonic regime, Structural setting, Porosity]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Porosity, Permeability, Depth, Gross, Period, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Gross', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Netpay, Permeability, Depth, Tectonic regime, Gross, Porosity]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Period, Lithology, Gross, Porosity, Depth, Netpay, Tectonic regime, Permeability, Structural setting]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Tectonic regime', 'Structural setting'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Depth, Period, Gross, Permeability]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Permeability, Porosity, Period, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Porosity, Permeability, Depth, Lithology, Gross, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime, Lithology]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Permeability, Depth, Tectonic regime, Porosity]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Period, Structural setting, Gross, Netpay, Permeability, Lithology, Depth, Tectonic regime, Porosity]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Permeability, Depth, Tectonic regime, Porosity]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Depth')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
